"Date","Time","Site","Tracker_ID","ID","Band","Colour_L","Colour_R","Sex","GPS_ID","Lat","Lon","Signal","Gain","Angle","Direction","Receiver","Temperature","Wind","Cloud","Precipitations","Snow_depth","Snow_hardness","Snow_water","Comments","Distance_new","new_lon","new_lat"
2023-11-29,"10:24",1,"AMC","123","2991-40336","Blue/Blue","Metal/Blue","Male","11-29-2023 NOCA 123",45.43219,-73.93909,149,30,220,"STRAIGHT","OLD",-4,12,100,"0",0,0,0,"",25,-73.9392953580331,45.4320176849617
2023-12-08,"9:58",1,"AMC","120b","2991-04521","Blue/White","Metal/Red","Female","12-08-2023 NOCA 121",45.42845,-73.93687,150,30,270,"UP","OLD",-7,10,100,"0",23,1,1,"",25,-73.9371894602582,45.4284499995533
2023-12-08,"10:49",1,"AMC","97","2991-40536","Red/White","Blue/Metal","Male","12-08-2023 NOCA 93",45.4317,-73.93948,161,30,210,"STRAIGHT","OLD",-6,11,100,"0",23,1,1,"",25,-73.9396397387468,45.4315051951935
2023-12-08,"10:49",1,"AMC","123","2991-40336","Blue/Blue","Metal/Blue","Male","12-08-2023 NOCA 93",45.4317,-73.93948,161,30,210,"STRAIGHT","OLD",-6,11,100,"0",23,1,1,"",25,-73.9396397387468,45.4315051951935
2023-12-08,"11:13",1,"AMC","104","2991-40554","Yellow/Black","Metal/Blue","Male","12-08-2023 NOCA 104",45.43006,-73.93851,165,20,182,"STRAIGHT","OLD",-5,11,100,"0",23,1,1,"",15,-73.9385166895756,45.4299251175269
2023-12-14,"10:44",1,"AMC","123","2991-40336","Blue/Blue","Metal/Blue","Male","12-14-2023 NOCA 123",45.42979,-73.93957,144,30,222,"UP","OLD",-4,13,20,"0",0,0,0,"",25,-73.9397837650633,45.4296228359402
2024-01-05,"10:19",1,"AMC","120b","2991-04521","Blue/White","Metal/Red","Female","01-05-2024 NOCA 120",45.43128,-73.9389,150,30,299,"STRAIGHT","OLD",-10,12,100,"0",0.1,1,1,"",25,-73.9391794207389,45.4313890532658
2024-01-05,"10:37",1,"AMC","123","2991-40336","Blue/Blue","Metal/Blue","Male","01-05-2024 NOCA 93",45.43012,-73.93965,147,30,219,"STRAIGHT","OLD",-9,13,100,"0",0.1,1,1,"",25,-73.9398510481626,45.4299451877183
2024-01-05,"10:37",1,"AMC","97","2991-40536","Red/White","Blue/Metal","Male","01-05-2024 NOCA 93",45.43012,-73.93965,147,30,219,"STRAIGHT","OLD",-9,13,100,"0",0.1,1,1,"",25,-73.9398510481626,45.4299451877183
2024-01-05,"10:37",1,"AMC","104","2991-40554","Yellow/Black","Metal/Blue","Male","01-05-2024 NOCA 93",45.43012,-73.93965,147,30,219,"STRAIGHT","OLD",-9,13,100,"0",0.1,1,1,"",25,-73.9398510481626,45.4299451877183
2024-01-05,"11:11",1,"AMC","118","2991-40399","Blue/Red","Metal/Red","Female","01-05-2024 NOCA 118",45.43098,-73.93843,161,20,290,"STRAIGHT","OLD",-8,13,100,"0",0.1,1,1,"",15,-73.9386101248622,45.4310261604923
2024-01-08,"10:23",1,"AMC","104","2991-40554","Yellow/Black","Metal/Blue","Male","01-08-2024 NOCA 104",45.43045,-73.93928,140,30,207,"STRAIGHT","OLD",-3,17,100,"0",25,1,1,"",25,-73.939425036531,45.4302495758886
2024-01-08,"11:43",1,"AMC","97","2991-40536","Red/White","Blue/Metal","Male","01-08-2024 NOCA 97",45.43028,-73.93851,147,40,120,"STRAIGHT","OLD",-3,15,100,"0",25,1,1,"",35,-73.9381226635819,45.4301225405443
2024-01-15,"9:32",1,"LD","118","2991-40399","Blue/Red","Metal/Red","Female","01-15-2024 NOCA 118",45.43022,-73.93822,224,40,200,"UP","NEW",-6,9,50,"0",26,1,2,"",35,-73.9383729705623,45.4299240741479
2024-01-15,"9:46",1,"LD","104","2991-40554","Yellow/Black","Metal/Blue","Male","01-15-2024 NOCA 99",45.43018,-73.93822,206,30,208,"STRAIGHT","NEW",-6,9,50,"0",26,1,2,"",25,-73.9383699815623,45.429981388658
2024-01-15,"9:46",1,"LD","116","2991-40569","Brown/Black","Metal/Red","Female","01-15-2024 NOCA 99",45.43018,-73.93822,202,30,208,"STRAIGHT","NEW",-6,9,50,"0",26,1,2,"",25,-73.9383699815623,45.429981388658
2024-01-15,"11:06",1,"LD","120b","2991-04521","Blue/White","Metal/Red","Female","01-15-2024 NOCA 120",45.43092,-73.93833,214,30,283,"STRAIGHT","NEW",-6,17,70,"0",26,1,2,"",25,-73.9386412863675,45.4309706003161
2024-01-22,"10:54",1,"LD","116","2991-40569","Brown/Black","Metal/Red","Female","01-22-2024 NOCA 124",45.43,-73.9385,220,30,90,"STRAIGHT","NEW",-4,24,10,"0",26,1,2,"Caught by banders at the feeders, point taken while in bird bag",25,-73.938180530998,45.4299999995532
2024-01-22,"11:10",1,"LD","97","2991-40536","Red/White","Blue/Metal","Male","01-22-2024 NOCA 97",45.42993,-73.93845,213,30,66,"STRAIGHT","NEW",-3,26,40,"0",26,1,2,"",25,-73.9381581504337,45.4300214914355
2024-01-22,"11:20",1,"LD","104","2991-40554","Yellow/Black","Metal/Blue","Male","01-22-2024 NOCA 104",45.42994,-73.93845,210,30,155,"STRAIGHT","NEW",-3,26,70,"0",26,1,2,"",25,-73.9383149871948,45.4297361339991
2024-01-25,"13:12",1,"LD","118","2991-40399","Blue/Red","Metal/Red","Female","01-25-2024 NOCA 118",45.43003,-73.93852,221,30,133,"UP","NEW",0,0,100,"0",29,2,3,"",25,-73.938286355672,45.4298765902648
2024-01-29,"9:50",1,"LD","116","2991-40569","Brown/Black","Metal/Red","Female","01-29-2024 NOCA 116",45.4301,-73.93826,215,40,254,"STRAIGHT","NEW",-1,17,100,"0",25,4,1,"",35,-73.9386899307407,45.4300131961347
2024-01-29,"9:50",1,"LD","97","2991-40536","Red/White","Blue/Metal","Male","01-29-2024 NOCA 116",45.4301,-73.93826,235,30,254,"STRAIGHT","NEW",-1,17,100,"0",25,4,1,"",25,-73.9385670935207,45.4300379974043
2024-01-29,"10:22",1,"LD","118","2991-40399","Blue/Red","Metal/Red","Female","01-29-2024 NOCA 124",45.43003,-73.9388,204,30,309,"UP","NEW",0,16,100,"0",25,4,1,"",25,-73.9390482747968,45.4301715597797
2024-02-02,"14:19",1,"LD","104","2991-40554","Yellow/Black","Metal/Blue","Male","02-02-2024 NOCA 104",45.4132,-73.92882,203,40,325,"STRAIGHT","NEW",-1,15,90,"0",24,2,1,"",35,-73.9290764609443,45.4134579658715
2024-02-02,"15:45",1,"LD","120b","2991-04521","Blue/White","Metal/Red","Female","02-02-2024 NOCA 120",45.43798,-73.93169,216,30,179,"UP","NEW",-1,15,100,"0",24,2,1,"Lebeau/Tremblay street, neighborhood east of MBO (MBO snow measurements)",25,-73.9316844237334,45.4377550934213
2024-02-07,"13:31",1,"LD","97","2991-40536","Red/White","Blue/Metal","Male","02-07-2024 NOCA 97",45.43043,-73.93797,226,30,26,"STRAIGHT","NEW",-2,2,60,"0",23,3,1,"",25,-73.9378299524438,45.4306321756611
2024-02-07,"13:37",1,"LD","118","2991-40399","Blue/Red","Metal/Red","Female","02-07-2024 NOCA 121",45.43024,-73.93822,206,30,163,"STRAIGHT","NEW",-2,2,60,"0",23,3,1,"",25,-73.9381265962623,45.4300248876759
2024-02-07,"14:24",1,"LD","104","2991-40554","Yellow/Black","Metal/Blue","Male","02-07-2024 NOCA 104",45.42998,-73.93848,232,30,89,"STRAIGHT","NEW",-2,0,80,"0",23,3,1,"",25,-73.9381605797454,45.4299839253178
2024-02-07,"15:19",1,"LD","120b","2991-04521","Blue/White","Metal/Red","Female","02-07-2024 NOCA 120",45.43815,-73.93144,204,40,0,"STRAIGHT","NEW",-2,6,80,"0",23,3,1,"Lebeau/Tremblay street, neighborhood east of MBO (MBO snow measurements)",35,-73.93144,45.438464917149
2024-02-12,"10:54",1,"LD","104","2991-40554","Yellow/Black","Metal/Blue","Male",NA,45.42993,-73.93852,201,40,245,"UP","NEW",1,13,80,"0",12,1,1,"GPS points taken with phone",35,-73.9389253506882,45.429796909345
2024-02-12,"10:54",1,"LD","118","2991-40399","Blue/Red","Metal/Red","Female",NA,45.42993,-73.93852,206,40,245,"UP","NEW",1,13,80,"0",12,1,1,"GPS points taken with phone",35,-73.9389253506882,45.429796909345
2024-02-12,"11:11",1,"LD","97","2991-40536","Red/White","Blue/Metal","Male",NA,45.42994,-73.93871,201,30,324,"UP","NEW",1,9,80,"0",12,1,1,"Found dead under a tree at MBO (predation). Tag was removed. GPS points taken with phone.",25,-73.9388977795724,45.4301219810572
2024-02-14,"15:25",1,"LD","120b","2991-04521","Blue/White","Metal/Red","Female",NA,45.43822,-73.9311,204,30,355,"UP","NEW",-6,28,0,"0",8,3,1,"Lebeau/Tremblay street, neighborhood east of MBO (MBO snow measurements), GPS points taken with phone",25,-73.9311278477109,45.4384440848487
2024-02-22,"12:52",1,"LD","104","2991-40554","Yellow/Black","Metal/Blue","Male","02-22-2024 NOCA 127",45.42966,-73.93817,231,30,83,"UP","NEW",0,12,60,"0",8,1,3,"",25,-73.9378529140218,45.4296874129916
2024-02-22,"12:52",1,"LD","118","2991-40399","Blue/Red","Metal/Red","Female","02-22-2024 NOCA 127",45.42966,-73.93817,215,30,83,"UP","NEW",0,12,60,"0",8,1,3,"",25,-73.9378529140218,45.4296874129916
2024-02-26,"9:14",1,"LD","104","2991-40554","Yellow/Black","Metal/Blue","Male","02-26-2024 NOCA 104",45.42961,-73.93842,212,30,228,"STRAIGHT","NEW",2,17,100,"0",5,1,2,"",25,-73.9386574094697,45.4294594847333
2024-02-26,"13:08",1,"AMC","118","2991-40399","Blue/Red","Metal/Red","Female","02-26-2024 NOCA 118",45.42978,-73.93758,145,30,330,"UP","OLD",5,20,10,"0",5,1,2,"Moving a lot near the feeders.",25,-73.9377397344299,45.4299748046422
2024-02-27,"13:53",1,"LD","120b","2991-04521","Blue/White","Metal/Red","Female","02-27-2024 NOCA 120",45.43805,-73.93082,203,40,78,"UP","NEW",14,13,5,"0",0,1,3,"large patches of snow away from meter stick",35,-73.9303824543188,45.4381154741215
2024-02-27,"14:43",1,"LD","118","2991-40399","Blue/Red","Metal/Red","Female","02-27-2024 NOCA 118",45.43135,-73.93853,207,40,28,"UP","NEW",13,15,0,"0",0,1,3,"large patches of snow away from meter stick",35,-73.9383200197069,45.4316280554791
2024-03-01,"13:17",1,"LD","118","2991-40399","Blue/Red","Metal/Red","Female","03-01-2024 NOCA 118",45.43076,-73.93825,211,30,278,"STRAIGHT","NEW",-2,11,60,"0",0,3,1,"large patches of snow away from meter stick",25,-73.9385663643723,45.4307913053149
2024-03-04,"10:03",1,"LD","118","2991-40399","Blue/Red","Metal/Red","Female","03-04-2024 NOCA 118",45.42867,-73.93786,204,30,33,"UP","NEW",3,6,80,"0",0,1,3,"some patches of snow away from meter stick",25,-73.9376860082178,45.4288586514299
2024-03-05,"11:08",1,"AMC","116","2991-40569","Brown/Black","Metal/Red","Female","03-05-2024 NOCA 116",45.42969,-73.93919,147,30,103,"STRAIGHT","OLD",11,10,40,"0",0,0,0,"Bird was found deep in bushes (had to fight my way through vegetation).",25,-73.93887872095,45.4296393988242
2024-03-07,"9:43",1,"LD","120b","2991-04521","Blue/White","Metal/Red","Female","03-07-2024 NOCA 120",45.43653,-73.93424,241,20,230,"STRAIGHT","NEW",3,24,50,"0",0,0,0,"In a strip of trees separating 2 farm fields near Barbara's neighbourhood",15,-73.934386853182,45.4364432463743
2024-03-08,"9:14",1,"LD","104","2991-40554","Yellow/Black","Metal/Blue","Male","03-08-2024 NOCA 104",45.4287,-73.93804,198,40,73,"STRAIGHT","NEW",-1,15,0,"0",0,0,0,"bird moved from strip of trees across the farm field east of the MBO back to the MBO (point taken at MBO)",35,-73.9376122955067,45.4287920722178
2024-03-11,"9:37",1,"LD","120b","2991-04521","Blue/White","Metal/Red","Female","03-11-2024 NOCA 120",45.43839,-73.93147,204,40,240,"UP","NEW",-2,28,80,"0",6,1,2,"in backyard along path in Barbara's neighborhood",35,-73.9318573919013,45.4382325407687
2024-03-13,"9:13",1,"LD","104","2991-40554","Yellow/Black","Metal/Blue","Male","03-13-2024 NOCA 104",45.42764,-73.93806,209,40,207,"UP","NEW",0,14,50,"0",0,0,0,"",35,-73.9382630407812,45.4273594060519
2024-03-13,"9:48",1,"AMC","118","2991-40399","Blue/Red","Metal/Red","Female","03-13-2024 NOCA 118",45.43133,-73.93857,160,20,138,"UP","OLD",1,13,80,"0",0,0,0,"",15,-73.9384417373226,45.4312297016399
2024-03-20,"9:39",1,"AMC","118","2991-40399","Blue/Red","Metal/Red","Female","03-20-2024 NOCA 118",45.43014,-73.93768,150,40,207,"UP","OLD",1,21,60,"0",0,0,0,"Birds were both hanging by the big cedar near the bird feeders.",35,-73.9378830497445,45.4298594061753
2024-03-20,"9:39",1,"AMC","104","2991-40554","Yellow/Black","Metal/Blue","Male","03-20-2024 NOCA 118",45.43014,-73.93768,150,40,207,NA,"OLD",1,21,60,"0",0,0,0,"",35,-73.9378830497445,45.4298594061753
2024-03-25,"9:06",1,"LD","104","2991-40554","Yellow/Black","Metal/Blue","Male","03-25-2024 NOCA 104",45.42984,-73.93834,202,30,17,"STRAIGHT","NEW",-3,13,0,"0",0,1,1,"some small patches of snow",25,-73.9382465962124,45.4300551122547
2024-03-25,"9:18",1,"LD","118","2991-40399","Blue/Red","Metal/Red","Female","03-25-2024 NOCA 118",45.43109,-73.9385,209,30,56,"UP","NEW",-3,13,0,"0",0,1,1,"",25,-73.9382351425078,45.4312157851618
2024-03-27,"10:14",1,"AMC","118","2991-40399","Blue/Red","Metal/Red","Female","03-27-2024 NOCA 118",45.43008,-73.93824,164,20,157,"UP","OLD",7,9,100,"0",0,0,0,"Located near the feeders.",15,-73.9381651041683,45.429955764324
2024-04-01,"10:37",1,"AMC","104","2991-40554","Yellow/Black","Metal/Blue","Male","04-01-2024 NOCA 104",45.429,-73.93858,150,30,106,"UP","OLD",6,6,70,"0",0,0,0,"In the pines near the bench close to pond.",25,-73.9382729124443,45.4289379973924
2024-04-01,"11:39",1,"AMC","123","2991-40336","Blue/Blue","Metal/Blue","Male","04-01-2024 NOCA 123",45.42869,-73.94138,140,30,248,"UP","OLD",7,11,40,"0",0,0,0,"Located behind the cabin where you pay to enter the arbo, there are some bird feeders there too.",25,-73.9416761992081,45.4286057351583
2024-04-03,"10:14",1,"AMC","120b","2991-04521","Blue/White","Metal/Red","Female","04-03-2024 NOCA 120",45.43491,-73.92234,160,20,295,"STRAIGHT","OLD",6,26,100,"0",0,0,0,"Located sort of in a ditch, between the bike lane and some industrial building.",15,-73.9225137375859,45.4349670383609
2024-04-06,"11:10",1,"LD","120b","2991-04521","Blue/White","Metal/Red","Female","04-06-2024 NOCA 120",45.43515,-73.92301,221,30,59,"STRAIGHT","NEW",5,19,100,"0",NA,1,3,"No snow measurements taken but most of the ground covered with snow",25,-73.9227361361508,45.4352658528221
2024-04-07,"10:22",1,"LD","118","2991-40399","Blue/Red","Metal/Red","Female","04-07-2024 NOCA 118",45.43139,-73.93865,215,30,356,"STRAIGHT","NEW",5,11,0,"0",0,1,3,"No snow near measuring stick but large patches covering most of the ground",25,-73.9386722856664,45.4316143931426
2024-04-07,"10:35",1,"LD","104","2991-40554","Yellow/Black","Metal/Blue","Male","04-07-2024 NOCA 104",45.43071,-73.9391,197,40,244,"STRAIGHT","NEW",5,11,0,"0",0,1,3,"",35,-73.9395019956318,45.4305719485147
2024-04-14,"9:46",1,"AMC","118","2991-40399","Blue/Red","Metal/Red","Female","04-14-2024 NOCA 118",45.43466,-73.9305,218,30,102,"STRAIGHT","NEW",8,13,20,"0",0,0,0,"In cedars near someone's backyard at the end of the fields near MBO.",25,-73.9301874867028,45.4346132317159
2024-04-23,"10:22",1,"AMC","104","2991-40554","Yellow/Black","Metal/Blue","Male","04-23-2024 NOCA 104",45.42995,-73.93901,151,30,5,"UP","OLD",13,NA,10,"0",0,0,0,"Saw the bird in bushes near the A nets. Forgot to note the wind speeds.",25,-73.9389821563562,45.4301740851745
2024-05-03,"9:39",1,"AMC","104","2991-40554","Yellow/Black","Metal/Blue","Male","05-03-2024 NOCA 104",45.42987,-73.93817,147,40,167,"UP","OLD",11,11,100,"0",0,0,0,"Close-ish to the feeders.",35,-73.9380693899318,45.4295631536493
2024-05-07,"11:27",1,"AMC","120b","2991-04521","Blue/White","Metal/Red","Female","05-07-2024 NOCA 120",45.43438,-73.9227,155,30,82,"STRAIGHT","OLD",18,10,5,"0",0,0,0,"In same woody patch as previous points.",25,-73.9223836154019,45.4344113052949
2023-10-20,"9:29",2,"MJL","124","2991-40508","Blue/Green","Metal/Red","Female","10-20-23 NOCA 124",45.4292,-73.93842,221,29,208,NA,"NEW",13,3,80,"0",0,0,0,"Located in the pines near the ""E"" nets.",25,-73.9385699789669,45.4290013886238
2023-10-23,"11:03",2,"NG","124","2991-40508","Blue/Green","Metal/Red","Female","10-23-23 NOCA 124",45.42958,-73.93848,203,40,94,NA,"NEW",9,9,100,"0",0,0,0,"Located close to the ""E2"" nets.",35,-73.938033836374,45.429558031585
2023-10-25,"11:27",2,"AMC","127","2991-40511","Blue/Black","Metal/Blue","Male","10-25-2023 NOCA 127",45.42989,-73.9374,160,20,212,"STRAIGHT","OLD",16,11,90,"0",0,0,0,"Located in the vegetation row between the drive way and the fields.",15,-73.9375015752645,45.4297755434034
2023-10-25,"9:10",2,"NG","124","2991-40508","Blue/Green","Metal/Red","Female","10-25-23 NOCA 124",45.43198,-73.93895,230,20,62,NA,"NEW",15,7,100,"0",0,0,0,"Located in the trail behind the cabin, pointing towards the fields.",15,-73.9387807492611,45.432043361936
2023-10-26,"9:50",2,"MJL","125","2991-40509","Blue/Yellow","Blue/Metal","Male","10-26-23 NOCA 125",45.42964,-73.93739,219,29,276,NA,"NEW",16,10,100,"0",0,0,0,"Along the drive way in the bushes.",25,-73.9377077170295,45.4296635123122
2023-10-26,"11:33",2,"MJL","124","2991-40508","Blue/Green","Metal/Red","Female","10-26-23 NOCA 124",45.42956,-73.93803,231,29,84,NA,"NEW",17,10,100,"0",0,0,0,"Along the drive way in the bushes.",25,-73.9377122834193,45.4295835123126
2023-10-27,"11:06",2,"MJL","127","2991-40511","Blue/Black","Metal/Blue","Male","10-27-23 NOCA 127",45.42969,-73.93764,220,19,88,NA,"NEW",17,3,100,"0",0,0,0,"Located in the driveway in the bushes.",15,-73.9374484363987,45.4296947100394
2023-10-27,"11:15",2,"MJL","124","2991-40508","Blue/Green","Metal/Red","Female","10-27-23 NOCA 124",45.42912,-73.93787,230,19,201,NA,"NEW",17,3,100,"0",0,0,0,"Located in the fields near the Arbo entrance.",15,-73.9379386912505,45.428993999566
2023-10-29,"9:38",2,"MJL","124","2991-40508","Blue/Green","Metal/Red","Female","10-29-23 NOCA 124",45.43003,-73.93849,250,19,207,NA,"NEW",16,19,100,"0",0,0,0,"Located in the field near the trashcans.",15,-73.9385770213964,45.4299097455473
2023-10-29,"9:59",2,"MJL","125","2991-40509","Blue/Yellow","Blue/Metal","Male","10-29-23 NOCA 125",45.43023,-73.93517,231,19,254,NA,"NEW",16,19,100,"0",0,0,0,"At the second hedge row.",15,-73.9353542566161,45.4301927985426
2023-11-08,"9:18",2,"AMC","127","2991-40511","Blue/Black","Metal/Blue","Male","11-08-2023 NOCA 127",45.43065,-73.93884,167,20,206,"STRAIGHT","OLD",0,18,10,"0",0,0,0,"",15,-73.9389240283801,45.4305286945222
2023-11-08,"9:56",2,"BF","124","2991-40508","Blue/Green","Metal/Red","Female",NA,45.43062,-73.93922,234,29,288,NA,"NEW",1,18,0,"0",0,0,0,"",25,-73.9395238367755,45.4306895102258
2023-11-13,"9:29",2,"AMC","124","2991-40508","Blue/Green","Metal/Red","Female","11-13-2023 NOCA 124",45.431,-73.93877,170,20,330,"STRAIGHT","OLD",-1,10,10,"0",0,0,0,"",15,-73.9388658425909,45.4311168827878
2023-11-13,"9:51",2,"AMC","127","2991-40511","Blue/Black","Metal/Blue","Male","11-13-2023 NOCA 127",45.43092,-73.93904,151,30,326,"STRAIGHT","OLD",0,11,40,"0",0,0,0,"",25,-73.9392186482894,45.4311064844915
2023-11-13,"10:12",2,"AMC","99","2991-40538","Yellow/Black","Metal/Red","Female","11-13-2023 NOCA 99",45.43032,-73.93926,182,20,NA,"STRAIGHT","OLD",1,11,70,"0",0,0,0,"",15,-73.93926,45.43032
2023-11-29,"9:27",2,"AMC","111","2991-40357","Brown/Blue","Metal/Red","Female","11-29-2023 NOCA 111",45.4314,-73.93862,147,30,330,"UP","OLD",-7,12,90,"0",0,0,0,"",25,-73.9387797389996,45.4315948045867
2023-11-29,"9:32",2,"AMC","99","2991-40538","Yellow/Black","Metal/Red","Female","11-29-2023 NOCA 97",45.43123,-73.93886,152,30,2,"STRAIGHT","OLD",-7,12,100,"0",0,0,0,"",25,-73.9388488504062,45.4314548040676
2023-11-29,"9:49",2,"AMC","127","2991-40511","Blue/Black","Metal/Blue","Male","11-29-2023 NOCA 102",45.43161,-73.93925,160,20,33,"STRAIGHT","OLD",-6,12,100,"0",0,0,0,"",15,-73.9391455996498,45.431723190832
2023-12-08,"10:11",2,"AMC","124","2991-40508","Blue/Green","Metal/Red","Female","12-08-2023 NOCA 124",45.42889,-73.93697,158,30,195,"STRAIGHT","OLD",-7,10,100,"0",23,1,1,"",25,-73.9370526827241,45.428672723458
