"","ID","Date","Site","Lat","Lon","Type","randist","randang","randLat","randLon"
"1","608","2024-10-24",4,45.41086,-73.93038,"random",54.2997492710128,298.987421644852,-73.9309867554877,45.4110967687627
"2","608","2024-10-26",4,45.41061,-73.93069,"random",226.797824841924,270.897934762761,-73.9335868490029,45.4106419429115
"3","608","2024-11-03",4,45.40847,-73.93301,"random",8.50742412731051,171.328661162406,-73.9329936157895,45.408394327895
"4","608","2024-11-29",4,45.40643,-73.93401,"random",69.1944700665772,27.605917705223,-73.9336004301115,45.4069817108647
"5","608","2024-12-06",4,45.4107,-73.92928,"random",30.6803468149155,205.019280156121,-73.9294457527046,45.4104498512179
"6","608","2024-12-18",4,45.41116,-73.93045,"random",263.935910677537,230.99624119699,-73.93307005754,45.4096653324797
"7","608","2025-01-02",4,45.41072,-73.93044,"random",188.423535134643,79.7832923568785,-73.9280711531912,45.4110206868458
"8","608","2025-01-05",4,45.41121,-73.93057,"random",213.997080666013,83.8477205391973,-73.9278520242798,45.4114163234788
"9","608","2025-01-12",4,45.41002,-73.93022,"random",145.178550551645,53.2786114700139,-73.9287334622091,45.4108010408648
"10","608","2025-01-19",4,45.41071,-73.9293,"random",290.179246198386,215.2803037595,-73.9314409215728,45.4085785755588
"11","608","2025-01-24",4,45.41064,-73.92916,"random",183.525271341205,30.6396345701069,-73.9279651654686,45.412060755963
"12","608","2025-01-31",4,45.41085,-73.93018,"random",227.498423843645,307.065246636048,-73.9324990240207,45.4120837267309
"13","608","2025-02-09",4,45.41114,-73.93048,"random",133.167056925595,349.696210334077,-73.9307842852439,45.4123188704558
"14","610","2024-10-16",6,45.45885,-73.64362,"random",5.98036595620215,245.759967109188,-73.6436897193299,45.4588279081664
"15","610","2024-10-19",6,45.45844,-73.64375,"random",98.6460212152451,6.92624134942889,-73.6435979067317,45.4593211000178
"16","610","2024-10-25",6,45.45975,-73.64852,"random",270.393750281073,138.53621698916,-73.6462309581742,45.4579268278654
"17","610","2024-10-26",6,45.45894,-73.64966,"random",74.792238813825,166.392081705853,-73.6494350216555,45.458285939817
"18","610","2024-10-28",6,45.45954,-73.65041,"random",161.785372789018,280.540314652026,-73.6524436024247,45.4598062655253
"19","610","2024-11-04",6,45.46067,-73.65065,"random",49.3126024492085,190.520550962538,-73.6507651201399,45.4602337637221
"20","610","2024-11-17",6,45.46145,-73.65112,"random",276.179608795792,83.3848327863961,-73.6476122972743,45.4617362129488
"21","610","2024-11-24",6,45.46122,-73.65044,"random",149.132782872766,233.737484626472,-73.6519774474141,45.4604263123069
"22","610","2024-12-01",6,45.46083,-73.65139,"random",114.558151178062,157.064473796636,-73.6508192198192,45.4598807372655
"23","610","2024-12-08",6,45.46108,-73.64972,"random",251.007328578271,245.624507172033,-73.652643197828,45.4601478613769
"24","610","2024-12-13",6,45.46085,-73.64933,"random",144.233006285504,238.326658168808,-73.6508994328688,45.4601685718859
"25","610","2024-12-18",6,45.46175,-73.65148,"random",6.77031478844583,12.5276207271963,-73.6514612231946,45.4618094662251
"26","610","2024-12-20",6,45.46132,-73.6504,"random",225.297336839139,236.932250624523,-73.6528139823383,45.4602139082922
"27","610","2024-12-26",6,45.46115,-73.65002,"random",270.417746482417,346.594389416277,-73.6508216326279,45.4635168120105
"28","610","2024-12-31",6,45.46156,-73.65118,"random",14.3610142869875,276.707045696676,-73.6513623617348,45.4615750911986
"29","610","2025-01-04",6,45.46101,-73.65145,"random",91.3113248068839,356.392739089206,-73.6515234557131,45.461829954662
"30","610","2025-01-07",6,45.46095,-73.64984,"random",56.8658221280202,23.2571356371045,-73.649552907146,45.461420079269
"31","610","2025-01-11",6,45.46088,-73.64884,"random",67.2251273179427,345.517195165157,-73.6490549597499,45.4614656434387
"32","610","2025-01-15",6,45.46093,-73.64945,"random",169.219747348689,4.85641258768737,-73.649266826966,45.4624471047004
"33","610","2025-01-25",6,45.46036,-73.64994,"random",201.391441072337,65.6520414724946,-73.6475940719698,45.4611070381165
"34","610","2025-01-27",6,45.46111,-73.65006,"random",172.165995743126,72.0722678303719,-73.6479655866455,45.4615868142642
"35","610","2025-02-05",6,45.46118,-73.65046,"random",298.038384807296,282.929450171068,-73.6541740848411,45.4617799571076
"36","610","2025-02-08",6,45.46121,-73.6504,"random",112.860625935718,148.85976950638,-73.6496537790524,45.460340848719
"37","610","2025-02-10",6,45.46125,-73.6504,"random",173.649961967021,167.504008887336,-73.6499196131081,45.459724578716
"38","610","2025-02-12",6,45.4607,-73.6502,"random",105.613289005123,93.9693188946694,-73.6488529015554,45.4606342124855
"39","610","2025-02-19",6,45.46049,-73.65027,"random",19.1933107562363,316.737313633785,-73.6504381830807,45.460615758742
"40","610","2025-02-21",6,45.46045,-73.6501,"random",293.86607373599,275.805367911234,-73.6538380124353,45.4607173870987
"41","610","2025-02-22",6,45.46054,-73.65036,"random",156.590781686828,51.4859678875655,-73.6487934086394,45.4614173455108
"42","610","2025-03-01",6,45.46036,-73.64991,"random",215.702593233436,354.496162589639,-73.6501745249962,45.4622918570292
